id;name;type;parent;min;max;regex;namespace;active;inferrable;xpath;message_field
1;enviNFe;Root;;;;;http://www.portalfiscal.inf.br/nfe;1;0;//xs:enviNFe;
2;versao;A;1;1;1;^4\.00$;;1;1;//xs:enviNFe//@versao;versao
3;idLote;E;1;1;1;^[0-9]{1,15}$;;1;0;//xs:enviNFe//xs:idLote;lote
4;indSinc;E;1;1;1;^(0|1)$;;1;1;//xs:enviNFe//xs:indSinc;
5;NFe;G;1;1;50;;;1;0;//xs:enviNFe//xs:NFe;
6;consReciNFe;Root;;;;;http://www.portalfiscal.inf.br/nfe;1;0;//xs:consReciNFe;
7;versao;A;6;1;1;^[0-9]{1,2}\.[0-9]{2}$;;1;1;//xs:consReciNFe//@versao;versao
8;tpAmb;E;6;1;1;^(1|2)$;;1;0;//xs:consReciNFe//xs:tpAmb;ambiente
9;nRec;E;6;1;1;^[0-9]{15}$;;1;0;//xs:consReciNFe//xs:nRec;recibo
10;inutNFe;Root;;;;;http://www.portalfiscal.inf.br/nfe;1;0;//xs:inutNFe;
11;versao;A;10;1;1;^4\.00$;;1;1;//xs:inutNFe//@versao;versao
12;infInut;G;10;1;1;;;1;0;//xs:inutNFe//xs:infInut;
13;Id;A;12;1;1;^ID[0-9]{41}$;;1;1;//xs:inutNFe//xs:infInut//@Id;
14;tpAmb;E;12;1;1;^(1|2)$;;1;0;//xs:inutNFe//xs:infInut//xs:tpAmb;ambiente
15;xServ;E;12;1;1;^INUTILIZAR$;;1;0;//xs:inutNFe//xs:infInut//xs:xServ;servico
16;cUF;E;12;1;1;^11|12|13|14|15|16|17|21|22|23|24|25|26|27|28|29|31|32|33|35|41|42|43|50|51|52|53$;;1;0;//xs:inutNFe//xs:infInut//xs:cUF;codigo_uf
17;ano;E;12;1;1;^[0-9]{2}$;;1;0;//xs:inutNFe//xs:infInut//xs:ano;ano
18;CNPJ;E;12;1;1;^[0-9]{14}$;;1;0;//xs:inutNFe//xs:infInut//xs:CNPJ;cnpj
19;mod;E;12;1;1;^(55|65)$;;1;0;//xs:inutNFe//xs:infInut//xs:mod;modelo
20;serie;E;12;1;1;^0|[1-9]{1}[0-9]{0,2}$;;1;0;//xs:inutNFe//xs:infInut//xs:serie;serie
21;nNFIni;E;12;1;1;^[1-9]{1}[0-9]{0,8}$;;1;0;//xs:inutNFe//xs:infInut//xs:nNFIni;numero_inicial
22;nNFFin;E;12;1;1;^[1-9]{1}[0-9]{0,8}$;;1;0;//xs:inutNFe//xs:infInut//xs:nNFFin;numero_final
